Character|Sentence
 Marcos | went into hiding, one by one, causing— 
 Anastasia Hoshin | Listen... 
 Anastasia Hoshin |" I get that you wanna talk up a good
show here, but I'm busy, you know. "
 Anastasia Hoshin |" As we say in Kararagi, ""Time is money."" "
 Subaru Natsuki | Wait, the Kansai dialect? Are you kidding me? 
 Anastasia Hoshin | then why did y'all even gather us? 
 Crusch Karsten | I agree. 
 Marcos |" Crusch-sama, should the Karsten family
head say something like that? "
 Crusch Karsten |" Observing formality is important,
but it is also a fact "
 Crusch Karsten | that our time is limited. 
 Crusch Karsten |" It would be wise to inform us
why we are here at once. "
 Crusch Karsten | Naturally, I do have a general idea. 
 Miklotov | You already know the purpose of this meeting? 
 Crusch Karsten | Yes, Lord Miklotov. 
 Crusch Karsten | For a drinking party, correct? 
 Crusch Karsten | One day, we will face each other as rivals. 
 Crusch Karsten | But by sharing the same table and drinks, 
 Crusch Karsten | we will learn about one another. 
 Miklotov | No, that is not correct. 
 Crusch Karsten | Felis, this isn't what you told me. 
 Felix Argyle | Oh, come on... 
 Felix Argyle |" All I said was,
""Maybe it'll be a drinking party."" "
 Crusch Karsten | I see. I jumped to conclusions. 
 Crusch Karsten |" Forgive me. Allow me to
retract what I just said. "
 Anastasia Hoshin | Hey, now! 
 Anastasia Hoshin |" Even if she backs down,
my opinion isn't gonna change. "
 Anastasia Hoshin | No need to explain the royal selection now. 
 Anastasia Hoshin | We already know. 
 Anastasia Hoshin | Right? 
 Emilia | I think we should hear the— 
 Anastasia Hoshin | Sorry, but I wasn't askin' your opinion. 
 Subaru Natsuki | Why, you— 
 Aldebaran | Hey! 
 Aldebaran |" I don't know what's up with the selection,
so I'd kinda like to hear the rest. "
 Miklotov |" Priscilla-sama, I'm told
this man is your knight. "
 Miklotov | Have you explained the selection to him? 
 Priscilla Barielle |" Either way, you men will
ramble on about it, yes? "
 Priscilla Barielle | Continue, Marcos. 
 Marcos | Then... 
 Marcos |" We've gathered you, who are qualified
to be the dragon's priestess, "
 Marcos |" because a new prophecy has been
engraved in the Dragon Stone. "
 Marcos |" It says, ""From the five capable of
becoming the nation's new leader, "
 Marcos |" choose one priestess to enter into
a covenant with the dragon."" "
 Subaru Natsuki | Five? 
 Reinhard van Astrea | Yes, five. 
 Reinhard van Astrea | Currently, there are only four candidates. 
 Reinhard van Astrea | The royal selection hadn't even begun. 
 Reinhard van Astrea | But today, 
 Reinhard van Astrea | history is set in motion. 
 Marcos | Knight Reinhard van Astrea, come forward. 
 Reinhard van Astrea | Yes, sir. 
 Reinhard van Astrea | Honored members of the council of wise men, 
 Reinhard van Astrea |" I, Reinhard van Astrea,
of the Imperial Knights, "
 Reinhard van Astrea |" would like to announce
my mission's completion. "
 Reinhard van Astrea |" The dragon's priestess, the fifth and
final candidate for the throne, "
 Reinhard van Astrea | has been located. 
 Reinhard van Astrea | The one I, myself, revere as queen. 
 Reinhard van Astrea | Her name... 
 Reinhard van Astrea | is Felt-sama. 
 Reinhard van Astrea |" Felt-sama, thank you for gracing us
with your presence. "
 Felt | Reinhard... 
 Felt | You bastard! 
 Felt |" You dragged me here with no explanation,
and what do you call all this?! "
 Reinhard van Astrea | You surprised me... 
 Reinhard van Astrea | What's brought on such behavior? 
 Felt |" Don't block my kick and ask me
that, like nothing happened! "
 Felt | I've had just about all I can take! 
 Reinhard van Astrea | Does the dress not suit your taste? 
 Reinhard van Astrea | It looks lovely on you. 
 Felt |" I'm not talking about the dress,
and I'm not embarrassed! "
 Emilia | That's the girl from... 
 Subaru Natsuki |" I guess it isn't that easy to change
someone at their core... "
 Subaru Natsuki | And not only me. 
 Felt | What the heck are you doing here? 
 Subaru Natsuki |" Hey! It's been a while.
How have you be— "
 Subaru Natsuki | Randaba! 
 Felt |" Looks like the hole in your gut
isn't bothering you anymore. "
 Subaru Natsuki |" If you were worried about that,
be nice to me! "
 Marcos |" Felt-sama, if you have finished
rekindling old friendships, "
 Marcos | please step over here. 
 Felt | So, what is it you want me to do? 
 Reinhard van Astrea |" I would like to say,
""To act more like a lady,"" "
 Reinhard van Astrea | but this comes first. 
 Reinhard van Astrea | As you can see, 
 Reinhard van Astrea |" the dragon gem has recognized
Felt-sama as a priestess. "
 Reinhard van Astrea | With her participation approved, 
 Reinhard van Astrea |" I believe it is time to begin the
royal selection in earnest. "
 Rickert | Even if the Dragon Stone has recognized her, 
 Rickert | isn't her selection a bit problematic? 
 Marcos |" You believe we, the Imperial Knights,
have made an error? "
 Subaru Natsuki | The atmosphere's getting kind of dicey. 
 Aldebaran | Yeah, but it doesn't bother me. 
 Felix Argyle | It's nyo big deal to me, either... 
 Felix Argyle |" After all, I've already pledged my
loyalty exclusively to one lady! "
 Julius Euclius | I feel the same. 
 Julius Euclius | My sword already belongs to Anastasia-sama. 
 Subaru Natsuki |" Well, my feelings for Emilia won't
come in second to anyone! "
 EXTRA |" She doesn't have the self-awareness
to become a ruler. "
 EXTRA |" You can dress her up, but you
can't give her grace. "
 EXTRA | She's uneducated, as well. 
 Miklotov | Silence! 
 Miklotov | Knight Reinhard, 
 Miklotov |" would you begin by explaining to us
what led you to her discovery? "
 Reinhard van Astrea |" I took custody of Felt-sama in the slums,
about one month ago. "
 Rickert | She's a gutter rat from the slums?! 
 Felt | Well, sorry for being a gutter rat! 
 Felt |" You were the ones who dragged
me here against my will! "
 Priscilla Barielle |" All of this long-winded blather
could not be more tedious. "
 Priscilla Barielle | Of course, I suppose you lived as a gutter rat 
 Priscilla Barielle |" because you could only manage
tedious conversation... "
 Felt | Oh? If you want a fight, you've got one. 
 Priscilla Barielle | What insolence. 
 Priscilla Barielle | Who do you think I am? 
 Aldebaran | Princess, that isn't... 
 Reinhard van Astrea | Many pardons, Priscilla-sama. 
 Emilia |" What are you thinking,
in a hallowed place like this? "
 Priscilla Barielle |" I was only trying to teach an
untrained little bitch her place. "
 Emilia | You won't even apologize? 
 Priscilla Barielle | Then, will you also apologize for being born? 
 Priscilla Barielle | You silver-haired half-elf. 
 Emilia | I have no connection to the witch... 
 Aldebaran | Princess, could you drop it now? 
 Aldebaran |" I'll be the one to suffer if you
make too many enemies, seriously. "
 Miklotov | Are you all quite finished? 
 Marcos |" Then, royal selection candidates,
please come forth. "
 Marcos | Priscilla Barielle-sama and her attendant, Al. 
 Priscilla Barielle | This selection is pointless. 
 Priscilla Barielle | I am the one suited to rule this nation! 
 Priscilla Barielle |" All you need to do is serve
me and grovel at my feet. "
 Marcos |" Head of the Karsten family,
Crusch Karsten-sama, "
 Marcos | and her attendant, the knight Felix Argyle. 
 Crusch Karsten | Should I become the new ruler, 
 Crusch Karsten |" I will make the dragon forget
the covenant it demanded. "
 Crusch Karsten |" The Dragon's Empire of Lugunica
belongs not to the dragon, "
 Crusch Karsten | but to us. 
 Marcos |" Anastasia Hoshin-sama,
of the Hoshin Company, "
 Marcos | and her attendant, the knight Julius Euclius. 
 Anastasia Hoshin | I'm a greedy gal, so I want everything. 
 Anastasia Hoshin |" No amount of commercial
success can satisfy me. "
 Anastasia Hoshin | I want my own nation! 
 Marcos | Emilia-sama and the man endorsing her, 
 Marcos | Margrave Roswaal L. Mathers. 
 Emilia | I have only one wish. 
 Emilia | For all to be equal. 
 Emilia |" I desire to create a nation where
all citizens are equal! "
 Roswaal L. Mathers |" Still, after the introduction of
all those knightly attendants, "
 Roswaal L. Mathers | I feel terribly out of place here! 
 Marcos | Finally, Felt-sama and her attendant, 
 Marcos | the knight Reinhard van Astrea. 
 Felt | Hang on! Don't get the wrong idea! 
 Felt | I never said I'd be the next ruler... 
 Felt | Who'd want to be in a royal selection?! 
 Marcos |" Are you saying you withdraw
from the selection? "
 Felt | Damn right I am! 
 Rickert | This is a joke! 
 Rickert |" I've overlooked this because
the situation is dire, "
 Rickert | but to drag it out this long is senseless! 
 Bordeaux | He's right. 
 Bordeaux |" The Astrea family offers
a gutter rat to rule us, "
 Bordeaux |" while Margrave Mathers endorses
a half-devil? Utter foolishness! "
 Roswaal L. Mathers |" It isn't at all nice to call
a half-elf a ""half-devil."" "
 Bordeaux | That silver-haired half-devil 
 Bordeaux |" matches the Jealous Witch's appearance,
as described for generations! "
 Bordeaux |" Why do you not realize that even allowing
her in the throne room is dreadful? "
 Bordeaux | Filthy woman! 
 Subaru Natsuki | Enough of your crap! 
 Emilia | Subaru, it's all right! Stop this! 
 Subaru Natsuki | I will not stop! 
 Subaru Natsuki | You people are full of crap! 
 Emilia | Apologize to Emilia— 
 Subaru Natsuki | Subaru! 
 Emilia |" Allow me to formally introduce myself
to the honored council of elders. "
 Emilia | My name is Emilia. 
 Emilia |" I am accompanied by Puck, a great
spirit who controls fire, "
 Emilia | and I am a silver-haired half-elf. 
 EXTRA | A great spirit? 
 Emilia | I understand that my half-elf lineage, 
 Emilia |" and other similarities to the witch,
subject me to prejudice. "
 Emilia | However... 
 Emilia |" I adamantly refuse to let all my potential
be plucked out simply for that reason. "
 Subaru Natsuki | Emilia... 
 Miklotov | By the way... 
 Miklotov | What, exactly, is that young man's position? 
 Emilia | Huh? Um, well, he's... 
 Subaru Natsuki | It's okay, Emilia. I've made up my mind, too. 
 Emilia | Your mind? To do what? 
 Emilia | Hey, Subaru, what are you going to do? 
 Emilia | Wait! 
 Subaru Natsuki |" Nice to meet you, members of
the council of elders. "
 Subaru Natsuki | My name is Natsuki Subaru. 
 Subaru Natsuki |" I am a manservant in Roswaal's mansion,
and I serve as this candidate's... "
 Subaru Natsuki | Emilia-sama's best knight! 
 Miklotov | Hmm, a knight, is he? 
 Roswaal L. Mathers | Ah, he knows little of our world... 
 Julius Euclius | Forgive me for interrupting, 
 Julius Euclius | but there is something I must ask him... 
 Julius Euclius |" If you truly proclaim yourself
to be Emilia-sama's knight. "
 Subaru Natsuki | What do you mean by that? 
 Julius Euclius | You just declared that you are a knight. 
 Julius Euclius |" And you did so here, audaciously,
before the Knights of Lugunica! "
 Subaru Natsuki | That was pretty well-coordinated... 
 Subaru Natsuki | Did you guys practice that for this meeting? 
 Julius Euclius | Of course. 
 Julius Euclius |" To make known to all the
dignity of our empire, "
 Julius Euclius |" we are highly conscious of
our identities every day. "
 Julius Euclius | Do you have the resolve to match that? 
 Subaru Natsuki | I want to make Emilia-sama the ruler... 
 Subaru Natsuki | No, I will make her the ruler! 
 Julius Euclius |" And you believe you have the
resolve and strength for that? "
 Subaru Natsuki | I don't have anything as grand as resolve, 
 Subaru Natsuki | and I'm well aware that I lack strength. 
 Subaru Natsuki | But I'm going to make Emilia the ruler! 
 Subaru Natsuki | I'm going to make her wish come true! 
 Julius Euclius |" Do you not feel that your answer
is too arrogant by far? "
 Julius Euclius |" Weakness is something to feel
shame, not pride, about. "
 Julius Euclius |" To earn the right to stand here,
have you worked hard? "
 Julius Euclius | Have you done enough service to shame us, 
 Julius Euclius | the Imperial Knights? 
 Subaru Natsuki | I'm still going to make Emilia the ruler! 
 Julius Euclius | I fail to understand... 
 Julius Euclius | After being so denied, 
 Julius Euclius | why do you continue to stand here? 
 Subaru Natsuki | Because she's special! 
 Julius Euclius |" I understand and accept your
reason for standing there. "
 Julius Euclius |" But I do not think I can
acknowledge you as a knight. "
 Subaru Natsuki | What are you... 
 Julius Euclius | Anyone who inspires such an expression 
 Julius Euclius |" on the face of one they wish to
stand beside, cannot be a knight. "
 Subaru Natsuki | I-Is being a knight that big a deal? 
 Subaru Natsuki | You just happened to be born into the job! 
 Subaru Natsuki |" Don't act like a big-shot
with your daddy's name! "
 Julius Euclius | Natsuki Subaru, 
 Julius Euclius | that is not a beautiful look. 
 Emilia | That's enough, Subaru. 
 Emilia | I am deeply sorry to waste your time. 
 Emilia | I will make him stand down. 
 Miklotov | Emilia-sama, 
 Miklotov |" if nothing else, he has shown us all
that you are not one to be feared. "
 Miklotov | You have a fine attendant. 
 Emilia | Subaru is 
 Emilia | not my attendant. 
 Marcos | Natsuki Subaru-dono, please leave the room. 
 Marcos |" Now, let us discuss how the royal
selection will proceed. "
 Marcos | What's going on?! 
 Felt | What are you doing? 
 Felt | Old Man Rom! 
 Marcos | I don't know who you are, 
 Marcos |" but for stealing into
the castle, you must die. "
 Felt | Stop! Let him go! 
 Marcos | Unfortunately, I cannot comply. 
 Marcos | You have publicly declared that 
 Marcos |" you have no intention of participating
in the royal selection. "
 Marcos | I am not obligated to obey your orders. 
 Felt | Fine... 
 Felt | I'll do your stupid royal selection! 
 Felt |" You want me to try to be
the next ruler, right? "
 Rom | Wh-What're you sayin', Felt? 
 Felt | That old man is my family, 
 Felt | so release him now. 
 Felt | Treat him with care! 
 Marcos | Very well. 
 Rom | Felt... I... 
 Felt | We'll talk later, Old Man Rom. 
 Felt | Hey, Reinhard, 
 Felt | was this all part of your plan, too? 
 Reinhard van Astrea | Certainly not. 
 Reinhard van Astrea |" This was something far greater,
guided by fate. "
 Felt | Are you a slave to fate or something? 
 Reinhard van Astrea | No. 
 Reinhard van Astrea | From now on, I am your knight. 
 Felt | Fine, then. 
 Felt | I'll work you to death. 
 Miklotov | Anyway, Felt-sama and her knight, Reinhard, 
 Miklotov |" may we conclude that you both intend
to participate in the royal selection? "
 Felt | Sure, I'm in. 
 Felt | But let me just say one thing. 
 Felt | I hate the nobility! 
 Felt | I hate knights! 
 Felt | I hate this kingdom! 
 Felt | I hate everything about it! 
 Felt | So I'm planning to tear it all down! 
 Felt | How about that? 
 Rickert | Wh-What are you saying? 
 Felt | If I become the next ruler, 
 Felt |" I'll destroy everything! I'll take
down every last one of you, "
 Felt |" and bring a little fresh
air into this country! "
 Miklotov | Your mistress is quite an intense lady. 
 Reinhard van Astrea |" One day, Felt-sama's words
will reach everyone's ears. "
 Miklotov | In any case, 
 Miklotov | all of the candidates are finally here. 
 Miklotov | The royal selection will now begin! 
 Reinhard van Astrea |" And so, the royal selection
has finally begun, Subaru. "
 Felix Argyle |" Subaru-kyun , you're Emilia-sama's
knight nyow , aren't you? "
 Felix Argyle | Let's both do our best. 
 Julius Euclius | Forgive me for interrupting. 
 Subaru Natsuki | Why the hell are you here?! 
 Julius Euclius |" I wish you would not make
such an unpleasant face. "
 Julius Euclius | I didn't expect you to warmly welcome me, 
 Julius Euclius | but if you take that attitude— 
 Subaru Natsuki | If I do, then what? 
 Julius Euclius |" It will call into question the respectability
of those in your company. "
 Julius Euclius | Do be careful. 
 Julius Euclius |" Now, you asked me why
I was here, did you not? "
 Julius Euclius | I came to see you, of course. 
 Julius Euclius | I would like you to come with me for a bit. 
 Reinhard van Astrea | Julius, you shouldn't do this. 
 Reinhard van Astrea | It isn't like you. 
 Julius Euclius |" He insulted us, the knights, before the
candidates to be our future ruler. "
 Julius Euclius | And he mocked the chivalry we practice. 
 Reinhard van Astrea |" I admit that he said some
things that went too far. "
 Reinhard van Astrea |" But for such a matter, he need
only be warned and corrected. "
 Julius Euclius | No, this is not only my problem. 
 Julius Euclius | I hereby administer 
 Julius Euclius |" the death penalty to this insubordinate man,
who sullied the knighthood's honor! "
 Julius Euclius |" Normally, it wouldn't be unusual
for you to be slain for insolence. "
 Julius Euclius |" However, much to my dismay,
you are Emilia-sama's attendant. "
 Julius Euclius | Therefore, we will fight using wooden swords. 
 Julius Euclius | Shall we begin? 
 Subaru Natsuki | Sure, I'm not gonna hold back! 
 Julius Euclius | It appears you truly have no pride. 
 Julius Euclius | What a simple, vulgar way to live. 
 EXTRA | Reporting! 
 EXTRA |" Knights Julius and Natsuki Subaru-dono
are having a mock battle "
 EXTRA | with wooden swords in the training ring! 
 Emilia | How did that happen? I have to— 
 Anastasia Hoshin | I just wanna know one thing... 
 Anastasia Hoshin | Which one of 'em issued the challenge? 
 EXTRA | I'm told it was the knight Julius. 
 EXTRA | Natsuki Subaru-dono accepted, 
 EXTRA | leading to this fight. 
 Anastasia Hoshin | Well, I'm against stopping them, then. 
 Emilia |" But your knight and my,
um... friend are fighting. "
 Emilia | Aren't you worried? 
 Anastasia Hoshin | Worried? About what? 
 Anastasia Hoshin | That Julius will go too far, 
 Anastasia Hoshin | and I'll have to pay for your boy's treatment? 
 Crusch Karsten | If it is a question of the mock battle, 
 Crusch Karsten |" I cannot agree with stopping
it before they finish, either. "
 Felt | If they're just duking it out, 
 Felt |" you could've waited until it ended
and told us who won. "
 EXTRA | Yes, ma'am! But the fight was, well... 
 EXTRA | It was just so one-sided, I... 
 Emilia | I have to stop it! 
 Aldebaran | We should go, too. 
 Aldebaran |" You like to watch vicious beasts torment
weak creatures, don't you? "
 Priscilla Barielle |" Don't misjudge me with your
unfounded imaginings, Al... "
 Priscilla Barielle | But yes, I do love that. 
 Julius Euclius |" Why don't you admit that you
have reached your limit? "
 Julius Euclius |" I'm sure you have now realized,
to a painful extent, "
 Julius Euclius |" just what the knights that you insulted,
and made light of, really are! "
 Julius Euclius | I believe continuing would endanger your life. 
 Subaru Natsuki | Damn it. 
 Subaru Natsuki | I'll break... 
 Subaru Natsuki | that nose of yours. 
 Subaru Natsuki | I'll crush you. 
 Emilia | Subaru! 
 Emilia | Don't, Subaru! 
 Subaru Natsuki | Shamac! 
 Julius Euclius | This was the ace up your sleeve? 
 Julius Euclius | Your skill level is far too low. 
 Julius Euclius | Such low-level magic 
 Julius Euclius | will only work on unintelligent beasts! 
 Julius Euclius | You are irredeemably powerless. 
 Julius Euclius | You are not worthy to stand at her side. 
 Emilia | Subaru! 
 Subaru Natsuki | So I didn't die... 
 Emilia | Subaru. 
 Subaru Natsuki | That talk with the royal candidates... 
 Emilia | Subaru. 
 Subaru Natsuki | I see. 
 Subaru Natsuki | Then let's head straight back. 
 Subaru Natsuki | We need to work out a plan for the selec— 
 Emilia | Subaru. 
 Emilia | Let's talk, okay? 
 Emilia | I have some things I want to ask you. 
 Emilia | A lot of things. 
 Subaru Natsuki | Yeah, I guess you do... 
 Emilia | Why did you end up, well, fighting Julius? 
 Emilia | There must have been a reason, right? 
 Emilia | Knowing you, it must've been important— 
 Subaru Natsuki | I wanted to get him back! 
 Emilia | Huh? 
 Subaru Natsuki | I was being stubborn. 
 Subaru Natsuki |" He said I was pathetic, powerless,
and unworthy of you. "
 Subaru Natsuki |" He was trying to distance me
from you, and I hated it. "
 Subaru Natsuki | That's why I fought him. 
 Emilia | Just for that? 
 Subaru Natsuki | Emilia-tan... 
 Subaru Natsuki | Emilia, you wouldn't understand. 
 Emilia | I see. 
 Emilia |" Roswaal and I will return to
the mansion tomorrow. "
 Emilia | You will stay in the capital to recover. 
 Subaru Natsuki | Wait a minute. 
 Subaru Natsuki | Huh? 
 Emilia | Wasn't that our agreement? 
 Subaru Natsuki | But wait a— 
 Emilia |" You came to the capital so Felis
could heal your exhausted gate. "
 Subaru Natsuki | No, wait a minute! 
 Subaru Natsuki | How can you suddenly... I... 
 Emilia | Because... 
 Emilia |" When I'm with you, you always push
yourself to do the impossible. "
 Subaru Natsuki | That's not what I'm saying... I just— 
 Emilia |" ""Just""? "
 Subaru Natsuki | I just wanted to do something for you, so I... 
 Emilia | For me? 
 Emilia | It was for you, wasn't it? 
 Subaru Natsuki | No... I just wanted to do something for you— 
 Emilia |" Stop telling lies about how
everything is for my sake! "
 Emilia |" Coming to the castle,
fighting Julius, using magic... "
 Emilia | Are you saying that was all for me? 
 Emilia | I never asked you to do any of that! 
 Emilia |" Hey, do you remember
what I asked you to do? "
 Subaru Natsuki | I... 
 Emilia | I asked you to wait at the lodging with Rem. 
 Emilia |" I asked you not to use magic because
using more would endanger you. "
 Subaru Natsuki | I'm sorry I didn't do as you asked. 
 Subaru Natsuki | B-But you're wrong. You're wrong! 
 Subaru Natsuki | I... I didn't do it for myself. 
 Subaru Natsuki | You won't believe me, Emilia? 
 Emilia | I want to. 
 Emilia | I want to believe you, Subaru. 
 Emilia | I want to... 
 Emilia |" But you're the one who won't
give me a reason to! "
 Emilia | You promised me... 
 Emilia |" But just like that, you threw it away,
and came all the way here! "
 Emilia | You won't keep your promise to me, 
 Emilia | and you ask me to believe you? 
 Emilia | I can't do that! I can't! 
 Emilia | Hey, Subaru... 
 Emilia | Why do you keep trying to help me like this? 
 Subaru Natsuki | Because you helped me... 
 Emilia | I... helped you? 
 Subaru Natsuki | Yes. 
 Subaru Natsuki | You don't even realize 
 Subaru Natsuki |" how the things you've done
for me have saved me. "
 Emilia | No, I don't, Subaru. 
 Subaru Natsuki | I don't expect you to... 
 Subaru Natsuki | But it's true! You saved me! 
 Subaru Natsuki | So everything I've done has been to repay you. 
 Emilia | I told you, I don't understand! 
 Subaru Natsuki | Maybe you don't, but please listen to me! 
 Subaru Natsuki | It's the truth! 
 Subaru Natsuki | You were the... 
 Subaru Natsuki | When I first came to this world, you were— 
 Emilia | Once again, you won't tell me anything. 
 Subaru Natsuki | Why won't you understand? 
 Subaru Natsuki | I thought 
 Subaru Natsuki | if anyone could understand... 
 Subaru Natsuki | it'd be you. 
 Emilia |" The version of me that lives within
you must be amazing. "
 Emilia | She can understand everything, 
 Emilia | even if you don't explain it to her. 
 Emilia |" She can feel all your pain, sadness,
and anger as her own. "
 Emilia |" I can't understand if you
don't tell me, Subaru. "
 Subaru Natsuki | I've... 
 Subaru Natsuki | All this time, 
 Subaru Natsuki | haven't I made everything work out all right?! 
 Subaru Natsuki |" When your insignia was stolen, I saved you
from an insane killer at the loot house! "
 Subaru Natsuki | I risked my life! 
 Subaru Natsuki | All because you were important to me! 
 Subaru Natsuki | At the mansion, too. 
 Subaru Natsuki | Things worked out because of me. 
 Subaru Natsuki | Without me, it would've been a lot worse. 
 Subaru Natsuki | All of it, all of it, all of it! 
 Subaru Natsuki | All of it was because I was there! 
 Subaru Natsuki |" You should have a greater debt to me
than you could ever repay! "
 Emilia | You're right. 
 Emilia | I owe you so many debts, Subaru. 
 Subaru Natsuki | Yeah, that's right! That's why I... 
 Emilia | So I'll repay all of them now. 
 Emilia | And we'll end this. 
 Emilia | You've done enough, Natsuki Subaru. 
 Emilia | You know, I had hopes for you. 
 Emilia | I thought maybe you... 
 Emilia |" That only you wouldn't give
me special treatment. "
 Emilia | That you'd look at me 
 Emilia |" in the same, exact way you
look at everyone else. "
 Subaru Natsuki | I can't do that. 
 Subaru Natsuki | I can't look at you the way I look at others. 
 Subaru Natsuki | It's impossible. 
 Subaru Natsuki | Haven't I made everything work out all right?! 
 Subaru Natsuki | Without me, it would've been a lot worse. 
 Subaru Natsuki | All of it was because I was there! 
 Subaru Natsuki |" You should have a greater debt to me
than you could ever repay! "
 Wilhelm van Astrea | Shall we stop for now? 
 Emilia | So I'll repay all of them now. 
 Emilia | And we'll end this. 
 Felix Argyle |" I swear, Julius, your good
nature is going to waste, "
 Felix Argyle | playing the villain for someone like him. 
 Julius Euclius |" I haven't the slightest idea
what you're talking about. "
 Felix Argyle |" How could you get yourself punished,
trying to protect a guy like that? "
 Felix Argyle | It's foolish! 
 Julius Euclius |" I only acted as I wished,
true to my own nature. "
 Julius Euclius | Righteously, in my own way, 
 Julius Euclius | and without shame, as I wished. 
 Felix Argyle | Are you sure about this? 
 Felix Argyle | Old Man Wil is busy preparing, too... 
 Crusch Karsten | It was a request from our guest. 
 Crusch Karsten | I cannot ignore it. 
 Felix Argyle |" If they're just practicing,
it's nyo big deal, but... "
 Felix Argyle |" Frankly, it appears to me
he's just making excuses. "
 Crusch Karsten | Excuses? 
 Felix Argyle |" He wants to say, ""I'm just
fine. I'm working hard."" "
 Crusch Karsten | Can you blame him? 
 Reinhard van Astrea | Forgive me. 
 Subaru Natsuki | Hang on... 
 Subaru Natsuki | What do you have to apologize for? 
 Subaru Natsuki | None of this was your fault! 
 Reinhard van Astrea |" No, I am a friend to you,
as well as to Julius. "
 Reinhard van Astrea |" My own lack of virtue was
responsible for my failure "
 Reinhard van Astrea | to stop a disagreement between my two friends. 
 Reinhard van Astrea | That duel had no meaning. 
 Subaru Natsuki | No meaning? 
 Reinhard van Astrea | No... 
 Reinhard van Astrea | What came of you two fighting there? 
 Reinhard van Astrea | You were hurt, 
 Reinhard van Astrea | and Julius tarnished his own career. 
 Reinhard van Astrea |" Why not try to have a calm,
open discussion with him? "
 Reinhard van Astrea | I'm sure that will clear up the misunder— 
 Subaru Natsuki | Reinhard. 
 Subaru Natsuki | I get how you feel, and I appreciate it. 
 Subaru Natsuki | You really are a nice guy. 
 Reinhard van Astrea | Then... 
 Subaru Natsuki | But I can't accept that proposal! 
 Subaru Natsuki | We're done talking. 
 Subaru Natsuki | Go back now. 
 Reinhard van Astrea | Subaru... 
 Reinhard van Astrea | Why? 
 Reinhard van Astrea | What did you gain from that duel? 
 Reinhard van Astrea | You've only suffered losses. 
 Reinhard van Astrea | Even Emilia-sama— 
 Subaru Natsuki | You'd better head back for today, Reinhard. 
 Subaru Natsuki |" Before your mistress gets lonely
and starts yelling for you. "
 Subaru Natsuki | Mind your own damn business. 
 Wilhelm van Astrea | Shall we stop for now? 
 Rem | You must be tired after practice, Subaru-kun. 
 Subaru Natsuki | Rem, you don't think I'm pathetic? 
 Rem | I do. 
 Subaru Natsuki | You do? Seriously? 
 Subaru Natsuki |" Then why are you still here
with a pathetic loser like me? "
 Subaru Natsuki | Because you were told to? 
 Rem | The fact that I think you're pathetic 
 Rem | and my staying with you are not contradictory. 
 Rem | Besides, even if I had not been ordered to, 
 Rem | I'm certain I would have stayed. 
 Subaru Natsuki | Why? 
 Rem | Because I want to. 
 Rem | Shall we go out tomorrow, Subaru-kun? 
 Rem |" You haven't gone anywhere in the
three days since we arrived. "
 Kadomon Risch | Interested in the royal selection, too? 
 Subaru Natsuki | Whoa! Don't sneak up on me with that face! 
 Subaru Natsuki | Wait, where's Rem? 
 Subaru Natsuki |" Don't make someone without
experience watch your shop. "
 Kadomon Risch | Five candidates, huh? 
 Kadomon Risch |" If you ask me, letting a half-elf be
one of them is pure insanity. "
 Kadomon Risch |" ""Emilia,"" eh? "
 Kadomon Risch |" There's no way a relative of the
witch could become our ruler. "
 Kadomon Risch | They've gotta be crazy. 
 Subaru Natsuki | Why does everyone say that? 
 Subaru Natsuki |" It doesn't mean she has anything
to do with the witch! "
 Kadomon Risch | Huh? 
 Subaru Natsuki |" Just because she's a half-elf,
don't lump them together "
 Subaru Natsuki | and brush her off! 
 Kadomon Risch | H-Hey... 
 Subaru Natsuki | That Emilia girl... I mean... 
 Subaru Natsuki |" She might really care about this
kingdom's people, too! "
 Kadomon Risch | Hang on, why are you getting so worked up? 
 Subaru Natsuki | I... 
 Emilia | It was for you, wasn't it? 
 Subaru Natsuki | Why is it... 
 Subaru Natsuki | Because of the Jealous Witch? 
 Subaru Natsuki | You think all half-elves are dangerous, 
 Subaru Natsuki | just because the witch was one?! 
 Kadomon Risch | That's right! 
 Kadomon Risch | Everyone's scared of the witch. 
 Kadomon Risch | That's common knowledge. 
 Kadomon Risch | As long as people see her that way, 
 Kadomon Risch | she can't win. 
 Kadomon Risch | Jeez, 
 Kadomon Risch | who would actually choose to support her? 
 Kadomon Risch |" Try not to say the word ""witch""
too loudly in public. "
 Kadomon Risch | You never know who's listening, or where. 
 Subaru Natsuki | You didn't tell me 
 Subaru Natsuki | everyone felt that way about you... 
 Emilia |" I can't understand if you
don't tell me, Subaru. "
 Subaru Natsuki |" I can't understand if you
don't tell me, either. "
 Crusch Karsten |" Natsuki Subaru, would you
mind joining me for a bit? "
 Subaru Natsuki | Crusch-san... Right? 
 Crusch Karsten | That's right. 
 Crusch Karsten | Oh, yes... 
 Crusch Karsten |" This is the first time you've seen
me out of business attire. "
 Crusch Karsten | The breeze is pleasantly cool tonight. 
 Crusch Karsten | Perfect conditions for sharing a drink, 
 Crusch Karsten | as we gaze upon the night sky. 
 Subaru Natsuki | But I can't drink alcohol. 
 Crusch Karsten | You're welcome to drink water. 
 Crusch Karsten | I won't be drinking enough to get drunk. 
 Crusch Karsten | How goes the healing of your gate? 
 Subaru Natsuki | H-Hey! 
